state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
ARUNACHAL PRADESH,WEST SIANG HILLS,32017,28975,9043,10645,4,28355,1123308,777574,0,4104,4149,29,632.38748,0,4283,16667,5,23,299,139,1,0.0,0,24.84756,311.44804,422.40013,43.4142,17.65999
HARYANA,FARIDABAD 10036,144428,54941,17509,100892,14852,0,117476,257507,11694,0,383972,22,416.49241,1,14494,10206,1,52,915,443,243,28.31665,38,66.10653,119.58579,468.67317,1349.00153,21.75726
HIMACHAL PRADESH,WEST BILASPUR,311954,236516,46604,34596,42952,1703,2701735,592992,169967,460746,1706256,32,263.90345,19,8922,2751,57,1,21994,12091,1165,25.26226,36,50.7005,3264.42469,1036.11007,4670.84315,98.61444
ODISHA,SAMBALPUR 10408,92192,398787,413434,177461,55710,79283,8086928,7829501,204127,8776,2703992,34,252.19205,545,151363,313311,60,1,20944,17637,2048,45.54402,77,29.14671,3526.71573,2277.48295,860.65112,82.91178
GUJARAT,JUNAGADH 10302,42331,129664,41484,44978,5290,610,1023181,353480,21874,973286,587667,34,274.21735,78,10004,5319,5,25,5450,5002,356,13.96778,83,24.83559,1480.16217,2653.62348,194.6411,81.92585
PUNJAB,Pathankot 10252,131540,69439,82785,74638,86153,86,559406,276385,949079,1412,453718,27,325.24871,2,50455,24035,40,5,1254,1906,602,16.51065,29,74.33401,3291.05296,2829.60802,169.24863,0.0
NAGALAND,LONGLENG 10044,68699,85759,31810,42678,0,41527,778024,1213081,0,1199004,587273,38,215.63921,0,37303,37202,7,1,2324,1270,171,29.88361,0,69.65552,3602.61182,2911.02113,595.27926,38.82583
ARUNACHAL PRADESH,CENTRAL EAST SIANG,3512,12072,6074,14785,0,11430,355157,119654,0,88163,27107,21,484.47566,1,597,4435,16,93,126,206,20,20.42575,0,61.05611,316.03296,278.06344,93.36317,4.431
ODISHA,SOUTH MALKANGIRI,118342,411723,80954,186331,50054,284910,8457234,4397313,182025,50858,1599722,35,292.68304,812,53228,122494,360,0,31453,10852,756,22.50591,34,41.24274,12242.06763,7743.1773,2087.97807,106.71596
KARNATAKA,DAVANAGERE 10409,127080,523596,128737,318270,74585,7898,5657337,3275530,1198256,29656,4478504,36,325.78521,1478,43181,63770,399,0,54374,49263,3427,24.95365,83,34.4441,16203.58535,99.68244,1534.0675,393.12069
BIHAR,KHAGARIA 10847,476953,418738,262236,458392,45700,2372,5353789,1200650,156986,84637,1554157,29,218.21217,125,54775,134616,99,8,30448,18215,3279,12.06127,42,53.44641,7247.06913,5096.48277,5171.79682,57.96138
ANDHRA PRADESH,CENTRAL WEST GODAVARI,124643,238047,342769,408102,111631,57548,17544230,6486542,2263298,645477,6470222,41,205.35641,3069,261279,277253,2244,17,63915,25342,8513,70.12922,75,60.70444,22794.1521,40354.47469,4773.92965,598.41326
ODISHA,GAJAPATI 10072,123507,235040,134351,268465,23823,133269,1924543,1519958,845006,146781,6703738,30,254.92331,563,142275,82541,607,0,21295,18639,434,39.89901,35,43.99091,8820.43736,2751.04276,438.4805,159.20249
UTTAR PRADESH,SHAHJAHANPUR 10275,155482,271754,180190,471439,48986,330,3889673,5573204,409296,48423,1604624,29,225.22575,249,36036,54977,38,4,18911,15667,2288,30.27438,54,26.03066,4419.36766,6096.59757,61.74014,186.94212
UTTAR PRADESH,CENTRAL HAMIRPUR,61430,18109,91136,210222,4455,204,1888051,3107415,3,6138,2512229,43,222.45793,264,126342,62724,290,0,32696,19395,6468,28.4523,76,22.57498,3898.70231,5198.20219,4393.29562,1.19037
KARNATAKA,BELAGAVI 10624,290975,475772,220193,329790,11911,6560,689235,640451,252104,19896,791227,32,321.83112,1244,1020,361828,3,0,36763,27154,66412,31.34138,97,29.32815,3371.72968,5934.69904,38.72524,185.05602
TELANGANA,Nizamabad 10614,132646,406564,165529,194127,29416,4001,1029387,4110285,409801,427241,1635297,23,172.68564,210,96979,67597,834,3,7710,22520,6928,34.62606,11,63.03446,5467.04914,7781.96176,4791.60483,326.56432
UTTAR PRADESH,MAHARAJGANJ 11621,142592,163181,148900,213023,77773,138,217644,2400401,2219334,2532,675274,30,234.83657,317,53744,49506,111,0,41701,57213,5320,18.40583,69,20.92692,13358.71381,9972.98192,8467.87804,67.0142
ODISHA,URBAN NAYAGARH,119322,358945,234588,274284,42651,1620,1750438,5390090,205584,320929,985163,27,241.26127,7996,66742,46260,195,0,12404,27586,6300,19.50176,50,53.76668,4259.41816,11318.48315,535.44982,141.93555
TAMIL NADU,RAMANATHAPURAM 10608,62950,327380,278467,419296,65558,32631,3400439,7313505,3595631,128130,3226981,33,271.2635,420,151989,128492,1080,0,33396,9221,5985,50.79111,35,9.76363,46901.00952,12110.75982,4866.86647,406.29556
TELANGANA,CENTRAL Yadadri Bhuvanagiri,100408,623602,79929,180823,47286,42902,3387421,4282953,479892,8549,3350977,46,179.14639,948,64889,59717,867,0,27827,4742,6466,49.31152,36,43.69821,4970.64551,3987.12127,4801.15457,325.2928
KARNATAKA,RURAL HASSAN,284606,527734,138696,377090,58543,7413,2635095,2799679,331769,273740,4100076,23,306.25167,79,55231,142017,2843,0,46705,16769,61928,48.18095,59,47.00181,2866.78474,2773.32739,5139.884,77.45677
RAJASTHAN,BIKANER 10030,254699,345833,389637,428666,87888,59262,4309994,9609992,380612,46867,1031834,27,214.30381,1203,175905,106476,327,2,6385,16975,3410,36.66583,65,33.65289,5193.00667,3129.54999,1800.54475,128.57772
UTTAR PRADESH,CENTRAL AZAMGARH,282345,553573,99005,391517,49294,116,4036645,896508,961955,2538,3875191,30,251.33616,827,69128,66977,172,0,65497,21113,1707,3.97055,50,60.52157,19553.65123,45.21241,6743.90469,9.17325
WEST BENGAL,NADIA 10215,293075,825186,54529,122239,126709,40954,0,0,0,0,785,16,0.0,0,0,2,2,22,2248,17392,8,2.6975,55,0.46168,436.01942,7.03356,0.0,189.82721
UTTAR PRADESH,LUCKNOW 11298,141714,52944,289209,1411,52263,447,940797,4259887,545957,5165,646624,34,234.99319,331,88734,17600,33,3,25740,40206,4541,24.42658,59,43.56692,15137.37352,7366.07991,10117.34646,93.7113
BIHAR,SAHARSA 10040,376717,910876,327725,68917,21307,210,6939042,976785,760802,85673,1169262,29,230.91533,178,69065,40511,53,4,9628,21336,24243,49.65105,78,69.22261,10596.59408,3208.88703,2349.93287,73.89691
HIMACHAL PRADESH,HAMIRPUR 10017,311997,42676,16103,11985,101512,11172,126016,514310,430808,76671,356488,29,311.21301,2,96682,12151,65,2,7732,15499,3384,12.25744,77,50.37042,1532.95657,1106.40658,1673.77454,181.15827
ANDHRA PRADESH,GUNTUR 10384,215638,262680,194929,190886,116646,15463,3420355,9038045,1650495,398239,8081066,47,225.45079,4969,155562,199247,1881,4,66975,44272,1173,67.46561,48,54.23318,22315.32797,13443.76288,4429.24517,979.53594
TAMIL NADU,THE NILGIRIS 10080,179087,296192,319008,169301,65142,4421,6412558,8676581,1163678,52660,4401681,24,231.19787,321,129151,202322,3478,0,31020,12308,10470,55.81648,50,31.48158,38988.72611,15509.65319,1285.82982,311.39754
RAJASTHAN,CENTRAL SIROHI,221648,362813,394491,1171974,30811,16552,6852134,11047807,558887,21354,1244495,41,202.9678,748,152727,359777,360,0,6092,10149,5854,4.14472,50,69.08689,4121.99415,15247.00691,704.6874,74.83545
MAHARASHTRA,LATUR 10329,309370,600696,101528,119420,64483,39629,1223172,222034,257556,131687,287413,33,282.91055,1122,115568,53821,259,151,30206,49087,2178,0.42834,86,63.81086,679.78325,565.66842,524.50632,180.66291
BIHAR,KHAGARIA SADAR,283371,177386,171696,448295,24140,3501,2387113,2800551,1111190,66428,2007101,35,252.62752,575,112869,106537,160,5,14730,44419,14148,8.44017,66,52.96972,8518.38928,10007.04231,2999.93744,35.85319
BIHAR,PASHCHIM CHAMPARAN 10815,171846,209453,238810,115613,23587,13135,2579878,3875466,475988,56135,3447081,29,225.82069,177,181657,112584,13,5,62000,18497,9899,2.6448,63,41.81149,8470.70826,3960.21975,956.68632,85.70893
UTTAR PRADESH,MEERUT 10215,168959,547709,282441,251613,48687,563,7028612,1510058,655409,52,762465,29,240.55347,43,37473,292,158,31,43631,8539,2027,15.04981,50,47.15818,6478.51489,1499.06144,609.30678,166.45768
JHARKHAND,WEST PALAMU,372596,251569,120413,194789,6944,91784,2066310,1958814,37342,1539785,879096,40,233.91101,585,87298,172278,158,0,45533,31392,15140,3.14957,97,91.08893,3365.99249,6110.38116,3524.87502,57.45991
JHARKHAND,SAHEBGANJ 10553,189213,497015,72692,147358,10959,7248,2738642,866914,72896,547978,987138,30,267.60797,464,60515,79242,178,8,46367,30545,14041,15.48272,89,90.00859,3029.78057,7735.33463,2320.2012,118.00243
NAGALAND,CENTRAL KOHIMA,36824,61503,52709,43967,0,68158,1192888,732167,0,1127582,1077090,36,205.26629,0,31465,47018,20,0,1322,635,44,2.66318,0,60.23239,7279.33678,5659.30781,680.13644,36.80173
TAMIL NADU,WEST TIRUNELVELI,166352,272100,279744,124280,113037,18,6744620,4683147,3325083,10990,3338041,40,264.5901,42,101905,368662,9968,1,20820,4987,9983,50.94927,54,4.57307,51258.58011,4098.20321,2662.45645,287.72194
ARUNACHAL PRADESH,OLD SIANG,7500,13567,25545,19195,0,6905,780568,44216,0,39455,42638,21,315.06209,0,3718,2059,0,0,80,138,116,0.0,0,63.02152,1370.44669,464.20814,80.73035,8.62308
MADHYA PRADESH,RATLAM 10588,181743,437377,42252,469938,57211,76168,1516156,1405613,168409,85975,594883,32,221.36215,116,26727,30603,102,2,35878,15993,24300,31.18234,42,21.27457,13392.93731,9051.83682,4274.73684,289.44471
ODISHA,DHENKANAL 10685,181755,348769,94120,492409,40350,116635,6214157,1298353,212844,101563,677714,36,227.96054,7317,119137,205280,3119,0,12040,31550,1880,35.5685,64,56.29206,5446.24508,6054.67089,590.17664,246.84329
TELANGANA,Mahabubabad 10749,209691,416082,181103,276953,65187,19187,1970449,5649560,389500,476957,500079,33,184.47669,115,51319,180952,1117,0,12807,14981,277,51.22324,13,62.33487,4517.85027,2101.92815,4739.91341,28.78174
CHHATTISGARH,SARANGARH BILAIGARH 10627,141863,278845,105530,370806,84730,19514,5029373,1591013,11425,1093566,1426456,43,170.84905,618,40046,114118,428,0,11323,13417,3848,27.9619,44,41.23937,6368.414,6500.67655,2514.80514,234.26801
UTTAR PRADESH,RURAL KANPUR DEHAT,295350,294776,80917,7129,5831,60,7171009,1304949,426477,1355,953273,38,235.92723,0,104999,94757,412,0,10214,37123,4823,28.31279,31,25.64722,4834.84556,4922.86269,1079.9146,0.0
UTTAR PRADESH,SANT RAVIDAS NAGAR 11242,437548,499884,218624,95126,59496,0,1078274,1326916,537447,351,141654,12,238.42762,498,70063,133684,151,0,7836,13889,2171,26.82892,65,44.05942,27881.0759,10140.2044,1913.63791,89.38687
HARYANA,FARIDABAD 10429,125370,52535,37800,41341,74488,0,274902,894316,291359,0,144087,17,347.47913,1,5448,1765,20,262,221,639,126,37.09067,9,61.49273,9.32187,3789.43788,23.48314,53.32174
UTTAR PRADESH,FIROZABAD 11566,139073,541871,183174,292258,138978,367,4637636,422956,508014,1055,1214395,43,239.58325,599,5472,116693,205,8,30122,6775,2598,28.04928,30,42.98183,8487.81709,7319.82137,1413.17759,133.84689
TELANGANA,Medak 10169,176667,363294,122857,191677,82421,34573,1171219,1728095,506127,211396,1007129,33,194.12893,108,71799,125480,1341,0,15053,7735,661,52.03752,11,56.60669,6527.50526,3035.28086,2737.08191,470.42237
MAHARASHTRA,NANDED 10004,599677,928680,78973,87807,67874,4551,368532,2266291,16724,1800,85244,21,306.9527,5256,9080,53405,45,22,45908,27157,826,20.25515,100,20.59993,5599.27201,3233.59374,87.73975,87.39347
TELANGANA,Nagarkurnool NAGAR,130747,377254,112095,188571,111781,73740,1712860,2629769,1017211,43612,2214014,34,180.28859,224,70091,122619,779,0,16483,11481,2331,23.62806,52,30.23106,8540.6312,6029.75319,3202.93595,191.64715
CHHATTISGARH,BEMETARA 10604,43984,317920,90331,119180,7117,82688,4753966,5308725,81383,1175585,427631,37,189.4192,607,27610,227628,75,4,8743,12147,6041,18.19001,58,39.72111,4565.37424,3157.02988,2709.14983,259.72047
ASSAM,NAGAON 10125,39547,404430,117923,308521,16236,45037,2327811,668887,119179,1021869,129245,27,263.19114,28,64796,112607,92,0,46020,18313,6276,18.68468,83,6.81425,3651.40537,1628.70792,838.24833,0.0
SIKKIM,Gangtok District 10103,7848,16195,21807,12742,2318,4902,390739,408921,13201,88132,230676,22,252.76344,79,5951,10926,11,0,1963,924,369,1.76296,78,66.81717,888.01455,338.72959,131.51308,35.20259
MANIPUR,TENGNOUPAL 10030,9572,144964,109062,15093,202,24308,840363,44820,4,177646,3414,9,203.65329,0,3989,25000,163,0,2630,835,0,89.37272,0,48.44054,286.69912,3.62546,925.80532,3.39304
BIHAR,NAWADA 10026,864625,1124191,163387,285173,60167,1965,7030972,2963639,428773,56332,1147002,29,244.27484,22,62706,192042,88,3,40627,31918,13749,13.07334,72,24.10937,16762.30317,16288.50619,2897.65586,155.94748
UTTARAKHAND,TEHRI GARHWAL 10219,50923,180185,47562,68276,21109,88,517570,281818,86843,678,150910,18,212.15052,164,37164,13917,18,11,12623,4203,1150,4.95259,34,41.15937,3475.7072,1542.58841,609.71433,34.5948
UTTAR PRADESH,SOUTH FATEHPUR,16879,330386,147366,258882,91305,667,8234356,22552,151405,905,365909,33,240.77636,601,64304,73782,74,2,15075,33540,4020,15.86061,25,38.37239,3143.98382,5593.84873,7060.49252,77.5612
TELANGANA,Jayashanker Bhopalapally 10718,119570,277557,64592,141732,48677,5108,1672979,2336298,285595,145229,2285078,46,198.49824,93,42517,129660,855,0,17766,8831,6966,42.12311,30,24.75524,4048.20617,7403.38974,4805.66695,373.72069
UTTAR PRADESH,KASHGANJ 11450,372097,289568,213630,253825,59316,367,1208494,2383935,2219423,11099,1273863,42,231.8886,5,56890,59178,197,7,22048,27053,2328,5.66948,8,34.2613,10574.58219,5268.80543,2831.75748,129.40489
MAHARASHTRA,NAGPUR 10669,359682,1472608,132486,278582,49149,1283,811852,675397,178738,14773,76343,27,278.36733,4006,9374,185974,112,10,32543,28198,1747,1.0608,80,56.18507,791.17892,1339.94783,348.07012,71.9214
UTTAR PRADESH,AZAMGARH 11050,163586,218473,5818,417154,28925,5516,1363938,4421070,333152,2638,1488512,35,208.55506,46,57054,92228,244,4,60618,14183,599,15.75299,61,42.61221,6029.01595,3522.87848,1317.09392,62.83681
UTTAR PRADESH,NEW KANPUR DEHAT,51641,500556,126416,390963,30052,3444,3146451,2137947,807549,13081,4207701,46,219.95713,45,98980,7277,206,2,4331,26567,2032,14.36138,21,30.60203,3938.61173,4448.98952,4034.58581,171.6995
ANDHRA PRADESH,VISAKHAPATANAM 10539,229331,503692,174530,242599,142944,17014,15753131,3168298,751702,427463,7370245,43,266.1816,4476,150129,361130,2144,14,60573,56182,5984,4.0973,57,48.40522,36509.36957,39498.60606,3858.19327,579.1718
HIMACHAL PRADESH,KINNAUR 10057,94261,310051,53537,79364,949,1779,1211560,2242030,169956,44069,1197210,28,249.97476,2,60849,124978,7,1,9412,18249,8644,13.53528,51,65.46456,1377.47488,134.20863,1406.25748,45.66372
PUNJAB,HOSHIARPUR 10294,100574,153423,83778,42177,106988,0,745871,863625,474795,0,405257,29,318.39106,4,20195,20799,28,9,5001,1766,594,30.64061,12,44.48368,2034.3978,1827.54453,191.70098,0.0
CHHATTISGARH,BEMETARA 10158,66205,366664,135218,147522,25194,24058,4231720,2562647,11901,974720,826687,29,202.91303,215,84437,14841,500,0,12758,7343,981,22.35762,30,36.34005,4353.58184,6343.00353,1510.5376,79.62279
UTTAR PRADESH,RAE BARELI 10255,209884,248718,111897,247474,44448,504,3429694,3179992,138869,675869,592046,31,232.3137,607,123510,77297,485,40,22183,224,1955,20.96703,25,41.27915,6223.20454,4808.81535,1308.14247,75.60822
WEST BENGAL,DINAJPUR UTTAR 10052,613394,87682,985165,868276,256881,133429,0,30,0,0,0,0,0.0,0,224,57,13,202,2425,82137,5,0.0,69,0.0,0.0,111.70392,0.0,580.35283
ANDHRA PRADESH,EAST GUNTUR,136462,289379,251710,468496,112583,24935,8240695,3539144,1479372,210821,5470072,40,273.29218,7396,87702,415688,1283,23,58486,41829,9538,3.05272,70,27.3592,13528.67334,19392.63518,5606.41284,282.9167
ANDHRA PRADESH,ANANTAPUR 10050,231056,302144,260878,189979,102297,7212,7409162,11602744,2906421,385912,3704185,54,256.67886,5713,225491,201550,3580,3,47442,46823,8097,51.75701,59,5.84551,21986.7897,14148.43843,1988.08975,638.02749
ODISHA,BARGARH 10443,223373,266876,83727,317771,77891,1057,1537643,5123913,601402,144990,2641315,37,229.06706,9981,148430,79957,320,0,41268,21486,2012,41.28574,62,37.36744,30973.86477,4200.10461,1359.55145,145.78307
ANDHRA PRADESH,KONASEEMA 10560,224181,518310,223804,150595,36896,14270,15089640,6456540,964241,85398,3235991,45,253.39053,8170,310056,240446,4173,0,42768,41375,6630,4.31803,57,14.10021,21586.28921,24855.32652,10619.85296,867.10378
ANDHRA PRADESH,KONASEEMA 10130,357978,443017,211890,213770,75125,1539,1458889,5931143,928155,1201698,5800866,48,250.57303,513,137150,38703,1877,0,28880,41276,6491,73.47839,37,15.45432,17526.08932,21662.28691,3541.42051,548.82583
UTTARAKHAND,EAST UDAM SINGH NAGAR,47053,108529,68756,80168,7840,83,1107940,256659,111419,1439,812903,21,247.71902,56,30676,32104,100,5,15531,8519,1724,24.87875,30,45.15096,2373.72111,1386.66827,1384.23323,102.00609
WEST BENGAL,RURAL PURBA MEDINIPUR,903502,1577414,171391,1361609,87464,6844,0,29,901,207,3472,27,0.0,0,1850,2,22,44,32503,29074,5,0.0,35,0.0,323.57393,0.0,0.0,159.17282
GUJARAT,WEST VALSAD,94078,287768,85808,75102,1894,175203,720573,331176,363257,3840,571216,36,253.63673,68,32202,26778,84,85,5450,3194,400,33.35546,67,23.36361,3473.49456,685.21626,2886.23631,60.13146
MADHYA PRADESH,NORTH ANUPPUR,184781,370832,146032,164870,37922,13091,2383477,1958921,180206,50193,241356,30,217.70181,628,164900,38965,1281,1,29877,6009,13472,28.51835,79,25.1944,1828.41961,648.7258,907.15687,418.81583
UTTAR PRADESH,SIDDHARTH NAGAR GARH,511215,425920,44,152096,73231,30,4041520,394852,921427,9,2084154,40,230.59838,701,38163,94006,122,9,28,39175,2132,46.96896,82,27.81214,7994.66778,5186.65122,3213.06852,222.84038
JHARKHAND,KODERMA 10446,205484,526795,137853,233008,11159,85102,4124393,3138050,95237,463758,874673,36,255.87856,463,145645,53227,229,0,45742,32607,19239,50.54392,88,80.42878,5165.24946,7940.29162,2317.02326,88.37877
HARYANA,OLD PANCHKULA,33380,238202,20724,99987,24758,0,194393,14674,147239,0,170752,15,410.9185,1,7353,21689,0,56,1539,989,65,37.47752,17,41.75364,126.87765,200.13285,20.69053,12.14577
UTTAR PRADESH,UPPER RAMPUR,220205,305931,438520,371261,54726,3291,2199350,2241741,176255,24033,237085,42,230.95003,140,83440,102292,300,27,6067,9637,990,13.89951,62,56.08557,3932.66213,5296.52445,2865.7943,198.51303
NAGALAND,RURAL MON,39833,51668,40034,41491,0,41803,1759428,1176424,0,731995,504092,35,220.84052,1,26801,77624,12,1,1179,862,81,11.06605,6,65.70558,1812.75482,3365.15781,1703.42365,38.79623
PUNJAB,BARNALA 10490,90792,159808,70488,29787,78690,69,343169,268171,556205,0,921101,32,317.69216,11,14369,46907,20,6,8680,4491,676,9.50937,28,44.9159,5669.16134,4260.08832,487.63474,0.0
CHHATTISGARH,EAST SURGUJA,113075,337846,184281,239717,15948,30622,1196567,1551802,91419,1116906,2715180,38,218.46109,270,26616,102906,856,4,15728,9444,3483,41.24949,52,27.19273,2656.36995,4046.18678,1435.46872,48.72841
MANIPUR,KANGPOKPI 10039,9755,13168,13895,16419,230,2635,1622910,58110,72,1095,47380,9,1475.65343,0,1244,6469,16,356,890,509,3,86.42978,0,16.93616,52.3035,186.08634,1179.48488,4.92912
KERALA,KANNUR 10327,277558,415529,115624,207521,52593,4616,3110775,2079026,87882,875128,2125875,28,360.38464,134,53392,131034,80,0,22517,20456,6142,36.59681,51,30.6784,8937.38371,10158.02143,431.80414,34.40971
TELANGANA,Nizamabad 10078,226314,536750,69655,377967,44941,1243,1203783,2764185,373354,61082,1216058,30,204.10145,167,40158,69363,925,0,27208,7009,2222,4.26034,9,55.27912,6755.88713,106.44139,4593.27632,210.45087
ASSAM,CHIRANG 10219,221523,89737,161076,208141,31008,2407,1234398,1463954,283084,12035,602392,33,251.51635,91,51490,96247,139,0,7436,42184,1088,11.82763,99,16.98053,5313.32596,1410.54377,1254.23223,0.0
TAMIL NADU,ERODE PATTI,200229,467128,85021,554000,41319,31,3479947,3770869,1396448,18504,9983266,31,245.7901,758,303702,195654,10489,0,8998,4408,14373,76.15837,79,4.29307,16012.31889,21739.21516,2547.81811,404.03007
MADHYA PRADESH,SIDHI 10331,261660,236136,124837,75038,98077,140045,4202091,1522044,207074,46550,260146,30,225.28996,70,15572,18886,278,0,20877,8656,6711,34.04166,83,32.60218,11631.98111,2293.62188,1500.67666,138.44691
ASSAM,DARRANG 10281,173154,242162,116128,178849,16360,365,2367452,2062109,25585,243342,894150,22,247.8037,224,41200,161511,23,0,31597,43773,6172,3.4836,92,29.32909,4059.08543,6419.42431,2.49722,0.0
ANDHRA PRADESH,PRAKASAM 10360,344367,63303,93420,342920,229964,39900,6334082,7093044,883356,390273,6113557,44,242.37339,3015,125335,183418,1223,1,45727,55196,9914,76.7165,43,26.65047,19325.30302,14860.27421,8737.50248,474.11528
PUDUCHERRY,RURAL PONDICHERRY,15110,98146,12872,74108,7986,223,543647,344213,241777,561,326717,30,257.65157,0,12655,11104,164,14,300,259,119,79.7133,0,23.79822,2444.00365,2755.87739,3.56811,15.16113
WEST BENGAL,DINAJPUR UTTAR 10112,1137509,1354717,195578,616217,146667,26502,0,0,781,0,829,16,0.0,0,4372,0,0,183,35914,84230,8,0.08846,69,30.76312,957.68837,0.0,0.0,201.78794
MIZORAM,SAITUAL,22868,7595,9205,26081,2,20735,3275809,630530,807,222567,361897,35,318.31461,0,10964,15829,2,0,635,450,136,1.22035,59,76.45502,4744.83709,3284.38201,1228.50144,108.43784
BIHAR,JEHANABAD 10290,397707,199206,261230,71772,128046,13126,2824134,4716484,540915,93375,1865122,39,223.55925,287,31743,33598,164,8,38959,31609,2783,13.09456,70,41.96416,5860.94301,2423.67969,2739.53042,37.37398
KERALA,MALAPPURAM 10057,359962,281155,216782,227715,34446,8730,2798096,1536674,645130,392642,1542979,29,341.68985,450,137233,55359,221,0,27279,21479,3950,48.67428,38,46.23709,12951.85307,6229.45322,942.73068,26.29592
